"1","Ditjen Perkeretaapian","Jl. Medan Merdeka Barat No.8 Gambir Jakarta Pusat",NULL,NULL,NULL
"2","PT Kereta Api Indonesia (Persero)","Bandung",NULL,NULL,NULL
"3","PT Kereta Commuter Indonesia","Juanda, Jakarta",NULL,NULL,NULL
"4","PT Railink","Jakarta",NULL,NULL,NULL
"5","PT MRT Jakarta","Lebakbulus",NULL,NULL,NULL
"6","PT LRT Jakarta","Kelapagading, Jakarta",NULL,NULL,NULL
"7","PT Angkasa Pura II","Bandara Soetta",NULL,NULL,NULL
"8","PT TEL","Lampung",NULL,NULL,NULL
"9","PT KHARISMA ABADI",NULL,NULL,NULL,NULL
"10","PT THAMRIN CITRA MULIA",NULL,NULL,NULL,NULL
"11","PT Kereta Cepat Indonesia China","Jakarta",NULL,NULL,NULL
"12","PT. Mitra Kerja Prasarana",NULL,NULL,NULL,NULL
"13","PT Jakarta Propertindo","Jakarta",NULL,NULL,NULL
"14","Pemprov Sumatera Selatan",NULL,NULL,NULL,NULL
